ミッション,ステージ(3はボス面),出現時間(秒),敵の種類,移動パターン,動くスピード,攻撃パターン,弾の種類,(弾画像の)幅,(弾画像の)高さ,攻撃間隔(秒),弾打ちまでの時間(秒),画像中心のx座標,画像中心y座標,(敵画像の)幅,(敵画像の)高さ,体力,アイテム,item=1の時のショット変更番号,スコア
mission,stage,wait,knd,pattern,sp,pattern2,blknd,blW,blH,blCnt,bltime,tx座標,ty座標,w,h,hp_max,item,item2,score
1,1,5,1,1,4,0,0,30,30,140,60,1700,400,100,100,5,1,1,1000
1,1,5,2,0,3,1,0,30,30,100,60,1700,600,100,100,6,2,0,1000
1,1,10,3,1,4,0,0,30,30,60,60,1700,800,100,100,5,3,0,1000
1,1,5,2,0,3,1,0,30,30,70,60,1700,200,100,100,6,2,0,1000
1,1,10,1,0,4,1,0,30,30,70,60,1700,500,100,100,6,2,0,1000
1,1,5,3,1,4,0,0,30,30,140,60,1700,400,100,100,5,1,1,1000
1,2,5,2,0,3,1,0,30,30,100,60,1700,600,100,100,6,2,0,1000
1,2,10,3,1,4,0,0,30,30,60,60,1700,800,100,100,5,3,0,1000
1,2,5,4,0,3,1,0,30,30,70,60,1700,200,100,100,6,2,0,1000
1,2,10,4,0,4,1,0,30,30,70,60,1700,500,100,100,6,2,0,1000
1,2,5,2,1,4,0,0,30,30,140,60,1700,400,100,100,5,1,1,1000
1,2,5,3,0,3,1,0,30,30,100,60,1700,600,100,100,6,2,0,1000
1,3,10,16,0,4,0,0,30,30,60,60,1700,800,400,400,50,3,0,10000
1,3,5,1,0,3,1,0,30,30,70,60,1700,200,100,100,6,2,0,1000
1,3,10,2,0,4,1,0,30,30,70,60,1700,500,100,100,6,2,0,1000
1,3,5,3,1,4,0,0,30,30,140,60,1700,400,100,100,5,1,1,1000
1,3,5,4,0,3,1,0,30,30,100,60,1700,600,100,100,6,2,0,1000
1,3,10,5,1,4,0,0,30,30,60,60,1700,800,100,100,5,3,0,1000
1,4,5,1,0,3,1,0,30,30,70,60,1700,200,100,100,6,2,0,1000
1,4,10,3,0,3,1,0,30,30,70,60,1700,600,100,100,6,2,0,1000
1,4,10,5,1,3,1,0,30,30,70,60,1700,450,100,100,6,2,0,1000
1,4,5,6,1,4,0,0,30,30,140,60,1700,400,100,100,5,1,1,1000
1,4,5,7,0,3,1,0,30,30,100,60,1700,600,100,100,6,2,0,1000
1,4,10,8,1,4,0,0,30,30,60,60,1700,800,100,100,5,3,0,1000
1,4,5,9,0,3,1,0,30,30,70,60,1700,200,100,100,6,2,0,1000
1,5,10,7,0,4,1,0,30,30,70,60,1700,500,100,100,6,2,0,1000
1,5,5,8,1,4,0,0,30,30,140,60,1700,400,100,100,5,1,1,1000
1,5,5,9,0,3,1,0,30,30,100,60,1700,600,100,100,6,2,0,1000
1,5,10,10,1,4,0,0,30,30,60,60,1700,800,100,100,5,3,0,1000
1,5,5,8,0,3,1,0,30,30,70,60,1700,200,100,100,6,2,0,1000
1,5,10,7,0,4,1,0,30,30,70,60,1700,500,100,100,6,2,0,1000
1,5,5,9,1,4,0,0,30,30,140,60,1700,400,100,100,5,1,1,1000
1,6,5,17,0,3,1,0,30,30,100,60,1700,600,400,400,70,2,0,15000
1,6,10,6,1,4,0,0,30,30,60,60,1700,800,100,100,5,3,0,1000
1,6,5,7,0,3,1,0,30,30,70,60,1700,200,100,100,6,2,0,1000
1,6,10,8,0,4,1,0,30,30,70,60,1700,500,100,100,6,2,0,1000
1,6,5,9,1,4,0,0,30,30,140,60,1700,400,100,100,5,1,1,1000
1,6,5,10,0,3,1,0,30,30,100,60,1700,600,100,100,6,2,0,1000
1,6,10,6,1,4,0,0,30,30,60,60,1700,800,100,100,5,3,0,1000
1,7,5,2,0,3,1,0,30,30,70,60,1700,200,100,100,6,2,0,1000
1,7,10,4,0,3,1,0,30,30,70,60,1700,600,100,100,6,2,0,1000
1,7,10,6,1,3,1,0,30,30,70,60,1700,450,100,100,5,2,0,1000
1,7,5,8,1,4,0,0,30,30,140,60,1700,400,100,100,5,1,1,1000
1,7,5,11,0,3,1,0,30,30,100,60,1700,600,100,100,6,2,0,1000
1,7,10,12,1,4,0,0,30,30,60,60,1700,800,100,100,5,3,0,1000
1,7,5,13,0,3,1,0,30,30,70,60,1700,200,100,100,6,2,0,1000
1,7,10,11,0,4,1,0,30,30,70,60,1700,500,100,100,6,2,0,1000
1,8,5,12,1,4,0,0,30,30,140,60,1700,400,100,100,5,1,1,1000
1,8,5,13,0,3,1,0,30,30,100,60,1700,600,100,100,6,2,0,1000
1,8,10,14,1,4,0,0,30,30,60,60,1700,800,100,100,5,3,0,1000
1,8,5,15,0,3,1,0,30,30,70,60,1700,200,100,100,6,2,0,1000
1,8,10,11,0,4,1,0,30,30,70,60,1700,500,100,100,6,2,0,1000
1,8,5,12,1,4,0,0,30,30,140,60,1700,400,100,100,5,1,1,1000
1,8,5,13,0,3,1,0,30,30,100,60,1700,600,100,100,6,2,0,1000
1,8,10,14,1,4,0,0,30,30,60,60,1700,800,100,100,5,3,0,1000
1,8,5,15,0,3,1,0,30,30,70,60,1700,200,100,100,6,2,0,1000
1,9,10,18,0,6,1,0,30,30,70,60,1700,500,600,600,100,2,0,30000
1,9,5,5,1,4,0,0,30,30,140,60,1700,400,100,100,5,1,1,1000
1,9,5,10,0,3,1,0,30,30,100,60,1700,600,100,100,6,2,0,1000
1,9,10,15,1,4,0,0,30,30,60,60,1700,800,100,100,5,3,0,1000
1,9,5,12,0,3,1,0,30,30,70,60,1700,200,100,100,9,2,0,1000
1,9,10,13,0,3,1,0,30,30,70,60,1700,600,100,100,10,2,0,1000
1,9,10,14,1,3,1,0,30,30,70,60,1700,450,100,100,10,2,0,1000
